account,id,created_at,impressions,reposts,quotes,likes,replies,images,is_quote,text
nicopuff_pr,2013008499631092166,2026-01-18T22:00:00.000Z,2543,0,0,3,0,0,0,@n0rika_628 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2012752828629188952,2026-01-18T05:04:04.000Z,382,1,0,3,0,0,0,製品についての詳細や 限定情報は公式サイトをチェック✅ https://t.co/7CG16Tonfz
nicopuff_pr,2012752481755840590,2026-01-18T05:02:41.000Z,1015,4,0,7,1,1,1,【✨総勢15名に当たる✨】 🎁ニコパフ プレゼントキャンペーン🎁 15日間の毎日抽選✨ 今日も抽選あります！ 💫 引用元のツイートよりどなたでも参加OK🔥 📢 公式LINE追加で 30％OFFクーポン配布中！ #ニコパフ #プレゼントキャンペーン #ニコパフプレキャン #NICOPUFF https://t.co/dHl2Ib5TbE https://t.co/z4fTfjrHFP
nicopuff_pr,2012689430960554475,2026-01-18T00:52:08.000Z,499,0,0,7,1,0,0,@LMK_Iris 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2012427839463624869,2026-01-17T07:32:40.000Z,916,3,0,8,1,1,1,【✨総勢15名に当たる✨】 🎁ニコパフ プレゼントキャンペーン🎁 15日間の毎日抽選✨ 今日も抽選あります！ 💫 引用元のツイートよりどなたでも参加OK🔥 📢 公式LINE追加で 30％OFFクーポン配布中！ #ニコパフ #プレゼントキャンペーン #ニコパフプレキャン #NICOPUFF https://t.co/s0hSLkdTc2 https://t.co/z4fTfjrHFP
nicopuff_pr,2012352843504660776,2026-01-17T02:34:40.000Z,662,2,0,6,1,0,0,@tacccancorinist 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2012034656020152559,2026-01-16T05:30:18.000Z,319,0,0,5,0,0,0,製品についての詳細や 限定情報は公式サイトをチェック✅ https://t.co/CeL456qMcl
nicopuff_pr,2012034389165949362,2026-01-16T05:29:14.000Z,877,3,0,12,1,1,1,【✨総勢15名に当たる✨】 🎁ニコパフ プレゼントキャンペーン🎁 15日間の毎日抽選✨ 今日も抽選あります！ 💫 引用元のツイートよりどなたでも参加OK🔥 📢 公式LINE追加で 30％OFFクーポン配布中！ #ニコパフ #プレゼントキャンペーン #ニコパフプレキャン #NICOPUFF https://t.co/0MX90JirXi https://t.co/z4fTfjsfvn
nicopuff_pr,2011921335589748759,2026-01-15T22:00:00.000Z,513,0,0,4,1,0,0,@______2826 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2011640113030447395,2026-01-15T03:22:32.000Z,289,1,0,3,0,0,0,製品についての詳細や 限定情報は公式サイトをチェック✅ https://t.co/7CG16Tonfz
nicopuff_pr,2011639889998332009,2026-01-15T03:21:38.000Z,851,4,0,10,3,1,1,【✨総勢15名に当たる✨】 🎁ニコパフ プレゼントキャンペーン🎁 15日間の毎日抽選✨ 今日も抽選あります！ 💫 引用元のツイートよりどなたでも参加OK🔥 📢 公式LINE追加で 30％OFFクーポン配布中！ #ニコパフ #プレゼントキャンペーン #ニコパフプレキャン #NICOPUFF https://t.co/fqwz6Te7v6 https://t.co/z4fTfjsfvn
nicopuff_pr,2011558948084859273,2026-01-14T22:00:00.000Z,506,0,0,4,1,0,0,@l27_l2v7 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2011276046717632928,2026-01-14T03:15:51.000Z,255,0,0,1,0,0,0,製品についての詳細や 限定情報は公式サイトをチェック✅ https://t.co/7CG16Tonfz
nicopuff_pr,2011275784208765234,2026-01-14T03:14:49.000Z,786,4,0,7,2,1,1,【✨総勢15名に当たる✨】 🎁ニコパフ プレゼントキャンペーン🎁 15日間の毎日抽選✨ 今日も抽選あります！ 💫 引用元のツイートよりどなたでも参加OK🔥 📢 公式LINE追加で 30％OFFクーポン配布中！ #ニコパフ #プレゼントキャンペーン #ニコパフプレキャン #NICOPUFF https://t.co/oCqEmd6tcE https://t.co/z4fTfjsfvn
nicopuff_pr,2011196691467420092,2026-01-13T22:00:32.000Z,619,0,1,3,1,0,0,@Kayu0316 様 ご当選おめでとうございます🎉 ご案内をDMにてお送りしましたので ご確認をよろしくお願い致します🙇
nicopuff_pr,2011035686628180300,2026-01-13T11:20:45.000Z,388,3,0,8,0,1,0,✨NICOPUFF新商品発売✨ 改良を重ねて遂に発売🚀 満足度の高い吸いごたえ⚡️ 大容量のフレーバータンクを内蔵✅ 今だけ30%OFFクーポンGET💫 👉(https://t.co/CeL456qMcl) プロフィール固定ツイから プレゼントキャンペーンも開催中🎁🌟 https://t.co/5NjFp9uTqM
